category_id,category_name
0,Dramas
1,Independent Movies
2,International Movies
3,British TV Shows
4,Reality TV
5,Comedies
6,Romantic Movies
7,Horror Movies
8,Sci-Fi & Fantasy
9,Thrillers
10,Action & Adventure
11,Classic Movies
12,Anime Features
13,Children & Family Movies
14,Documentaries
15,Music & Musicals
16,Cult Movies
17,Faith & Spirituality
18,LGBTQ Movies
19,Crime TV Shows
20,International TV Shows
21,TV Dramas
22,Romantic TV Shows
23,Spanish-Language TV Shows
24,Stand-Up Comedy
25,TV Shows
26,Movies
27,TV Comedies
28,Sports Movies
29,TV Action & Adventure
30,TV Sci-Fi & Fantasy
31,TV Mysteries
32,Docuseries
33,Anime Series
34,TV Horror
35,Teen TV Shows
36,Korean TV Shows
37,Stand-Up Comedy & Talk Shows
38,Kids' TV
39,Classic & Cult TV
40,TV Thrillers
41,Science & Nature TV
