show_id,title,date_added,release_year,duration,description,tipo_id,rating_id
s8,Sankofa,2021-09-24,1993,125,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",0,0
s9,The Great British Baking Show,2021-09-24,2021,9,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",1,1
s10,The Starling,2021-09-24,2021,104,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,0,2
s13,Je Suis Karl,2021-09-23,2021,127,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",0,0
s25,Jeans,2021-09-21,1998,166,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",0,1
s28,Grown Ups,2021-09-20,2010,103,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",0,2
s29,Dark Skies,2021-09-19,2013,97,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",0,2
s30,Paranoia,2021-09-19,2013,106,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",0,2
s39,Birth of the Dragon,2021-09-16,2017,96,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",0,2
s42,Jaws,2021-09-16,1975,124,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",0,3
s43,Jaws 2,2021-09-16,1978,116,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",0,3
s44,Jaws 3,2021-09-16,1983,98,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",0,3
s45,Jaws: The Revenge,2021-09-16,1987,91,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",0,2
