director_id,director_name
0,Haile Gerima
1,Andy Devonshire
2,Theodore Melfi
3,Christian Schwochow
4,S. Shankar
5,Dennis Dugan
6,Scott Stewart
7,Robert Luketic
8,George Nolfi
9,Steven Spielberg
10,Jeannot Szwarc
11,Joe Alves
12,Joseph Sargent
13,Daniel Espinosa
14,Antoine Fuqua
15,Toshiya Shinohara
16,Masahiko Murata
17,Hajime Kamegaki
18,Hirotsugu Kawasaki
19,Toshiyuki Tsuru
20,Tensai Okamura
21,Kemi Adetiba
22,Cedric Nicolas-Troyan
23,JJC Skillz
24,Funke Akindele
25,Alice Waddington
26,Raja Gosnell
27,Stephen Kijak
28,Lijo Jose Pellissery
29,David de Vos
30,Rahul Rawail
31,Jane Campion
32,Nagesh Kukunoor
33,Shanker Raman
34,Vidhu Vinod Chopra
35,Mark Rosman
36,Lasse Hallström
37,Ridley Scott
38,Neill Blomkamp
39,Phillip Noyce
40,Renny Harlin
41,Anthony Minghella
42,Simon Wincer
43,Spike Lee
44,Sebastián Schindel
45,Steven C. Miller
46,Richard LaGravenese
47,Martin Campbell
48,Reginald Hudlin
49,George Jackson
50,Doug McHenry
51,Eric Meza
52,Michael Martin
53,Michael Rymer
54,Andrew Lau Wai-keung
55,Alan Mak
56,Brett Weiner
57,Jim Henson
58,Gary Winick
59,Danishka Esterhazy
60,Troy Byer
61,Pang Ho-cheung
62,Tim Burton
63,David Zucker
64,Kinka Usher
65,Sergio Leone
66,Matthew O'Callaghan
67,Todd Wilderman
68,Bobby Farrelly
69,Peter Farrelly
70,Wolfgang Petersen
71,Peter Spirer
72,Michael Carney
73,Richard Linklater
74,Amy Rice
75,Randal Kleiser
76,Michael Ritchie
77,J. Lee Thompson
78,Evan Goldberg
79,Seth Rogen
80,Tom Shadyac
81,Malcolm D. Lee
82,Ramzy Bedia
83,Éric Judor
84,Sharan Koppisetty
85,Taylor Sheridan
86,Sachin Yardi
87,Saurabh Kabra
88,Partho Mitra
89,Santram Varma
90,Anil V. Kumar
91,Anurag Basu
92,Sangeeth Sivan
93,Umesh Ghadge
94,David Dhawan
95,Dibakar Banerjee
96,Apoorva Lakhia
97,Milan Luthria
98,Pawan Kripalani
99,Bhushan Patel
100,Raj Nidimoru
101,Krishna D.K.
102,Angel Kristi Williams
103,Roger Donaldson
104,Christopher Alender
105,David Oyelowo
106,Brian Andrew Mendoza
107,Drake Doremus
108,Mani Ratnam
109,Paakhi Tyrewala
110,Steve Brill
111,Ferdinando Cito Filomarino
112,Juan Carlos Medina
113,Inma Torrente
114,Julián Gaviria
115,Steven Yamamoto
116,Charles Uwagbai
117,Julián Hernández
118,Vince Marcello
119,Jonathan Teplitzky
120,Dustin Hoffman
121,Adze Ugah
122,Quoc Bao Tran
123,Bejoy Nambiar
124,Priyadarshan
125,Karthik Narain
126,Vasanth Sai
127,Karthik Subbaraj
128,Arvind Swamy
129,Rathindran R Prasad
130,Sarjun
131,Gautham Vasudev Menon
132,Kayode Kasum
133,Just Philippot
134,Kirk DeMicco
135,Brandon Jeffords
136,Rohit Shetty
137,Alejandro Doria
138,Laura Fairrie
139,Marcelo Piñeyro
140,Izu Ojukwu
141,Peter Winther
142,Susan Lacy
143,James Mangold
144,Chineze Anyaene
145,Hsu Fu-chun
146,Brian Levant
147,Rod Daniel
148,Robert Zemeckis
149,Todor Chapkanov
150,Phil Lord
151,Christopher Miller
152,John Hughes
153,Justin Baldoni
154,Joe Roth
155,Mark Helfrich
156,Christopher Nolan
157,Paul Thomas Anderson
158,Nick Castle
159,Howard Zieff
160,David Feiss
161,David Gordon Green
162,Jorge Blanco
163,Zara Hayes
164,Gary Ross
165,Clint Eastwood
166,Trey Parker
167,Kelly Fremon Craig
168,Tom Elkins
169,Tony Scott
170,Brad Furman
171,Sylvain White
172,Brad Anderson
173,Irwin Winkler
174,Garry Marshall
175,Najwa Najjar
176,Michelle Bello
177,Daniel Markowicz
178,Glen Winter
179,Ram Gopal Varma
180,Yuval Adler
181,Quentin Tarantino
182,Clay Glen
183,Augustine Frizzell
184,Rajiv Chilaka
185,Ainsley Gardiner
186,Briar Grace-Smith
187,Seyi Babatope
188,Morgan Ingari
189,Abdulaziz Alshlahei
190,Edward Drake
191,Sita Likitvanichkul
192,Jetarin Ratanaserikiat
193,Apirak Samudkitpaisan
194,Thanabodee Uawithya
195,Adirek Wattaleela
196,Sofia Coppola
197,Colin Trevorrow
198,Bill Condon
199,David Slade
200,Chris Weitz
201,Catherine Hardwicke
202,Hadrah Daeng Ratu
203,Ash Brannon
204,Chris Buck
205,Roberto De Feo
206,Paolo Strippoli
207,Semi Chellas
208,Nima Nourizadeh
209,Jericca Cleland
210,Kevin Munroe
211,Ahmed Siddiqui
212,Hallie Meyers-Shyer
213,Scott Speer
214,Barry Levinson
215,Camille Delamarre
216,Mahmood Ali-Balogun
217,Jan Holoubek
218,Christine Luby
219,Yeo Siew Hua
220,Hardik Mehta
221,Rajveer Singh Maan
222,Harpeet Singh
223,Youssef Chahine
224,Saw Teong Hin
225,Nik Amir Mustapha
226,M.S. Prem Nath
227,Rano Karno
228,Pramod Pawar
229,Naresh Saigal
230,Vinil Mathew
231,Ramsey Nouah
232,Bong Joon Ho
233,Kim Tae-hyung
234,Michael Spierig
235,Peter Spierig
236,Ernie Barbarash
237,Jay Roach
238,McG
239,Frank Marshall
240,Victor Vu
241,Joel Hopkins
242,John Stevenson
243,Mark Osborne
244,Jennifer Yuh Nelson
245,Greg Berlanti
246,Garth Davis
247,Rob Marshall
248,Martin Brest
249,Paul W.S. Anderson
250,Ivan Reitman
251,Joel Gallen
252,Claire McCarthy
253,Trevor Nunn
254,Gabriele Muccino
255,Jim Field Smith
256,Chris Koch
257,J.J. Abrams
258,Rob Minkoff
259,Lynn Shelton
260,Adam McKay
261,Anton Corbijn
262,Robin Bissell
263,David Fincher
264,John G. Avildsen
265,Alan Parker
266,Walter Hill
267,Stephen Frears
268,Bryan Bertino
269,Phil Alden Robinson
270,Florian Henckel von Donnersmarck
271,Len Wiseman
272,Måns Mårlind
273,Björn Stein
274,Patrick Tatopoulos
275,Robert O. Peters
276,Vincent Ward
277,Gregory Nava
278,Matt Thompson
279,Matt Aselton
280,Andrew Dominik
281,Anissa Bonnefont
282,Bahij Hojeij
283,Jonathan Hensleigh
284,Justin P. Lange
285,Jayme Monjardim
286,Kingsley Ogoro
287,Cristina Jacob
288,Rob Seidenglanz
289,Simon Frederick
290,Paul Weitz
291,Soudade Kaadan
292,Antoinette Jadaone
293,Marie Clements
294,David O. Russell
295,Max Jabs
296,Ricardo de Montreuil
297,Peter Chelsom
298,Francine Parker
299,Daniel Schechter
300,Mike Gunther
301,David Zeiger
302,Michael Simon
303,Joe Berlinger
304,Bruce Sinofsky
305,Bradley Parker
306,Prabhakaran
307,Manjari Makijany
308,Jay Oliva
309,Chris Appelhans
310,Michael Tiddes
311,Lara Saba
312,Bao Nhan
313,Namcito
314,Mark Raso
315,Tariq Alkazim
316,Kenneth Gyang
317,Yulene Olaizola
318,Mark Waters
319,Matthew Heineman
320,Robert Peters
321,Jonathan Clay
322,Ally Pankiw
323,Lee Kae-byeok
324,Jayan Moodley
325,Daniel Benmayor
326,Alex Díaz
327,Helena Bergström
328,Myriam Fares
329,Rae Red
330,Lance Hool
331,Nicole Conn
332,Les Mayfield
333,Ellen Seidler
334,Megan Siler
335,Roger Christian
336,Lance Young
337,Leandro Neri
338,Thom Fitzgerald
339,Don Michael Paul
340,Andrzej Bartkowiak
341,Harold Becker
342,Andrew Jenks
343,Ric Roman Waugh
344,Rob Reiner
345,Andy Tennant
346,Tade Ogidan
347,Scott Spiegel
348,Jessie Nelson
349,Theodore Witcher
350,Aurora Guerrero
351,Michael Jai White
352,James McTeigue
353,Takuya Igarashi
354,Michelle MacLaren
355,Todd Phillips
356,Dominic Sena
357,Alan Alda
358,Sydney Pollack
359,Lorene Scafaria
360,Barbra Streisand
361,Michael Winterbottom
362,Emma Tammi
363,Peter Hutchings
364,George Ratliff
365,Bo Burnham
366,David Frankel
367,Julio Quintana
368,Paween Purijitpanya
369,Pablo Faro
370,Letizia Lamartire
371,Tim Johnson
372,Vishwesh Krishnamoorthy
373,Zack Snyder
374,Amr Salama
375,Robert Rodriguez
376,David Ayer
377,Eshom Nelms
378,Ian Nelms
379,James Redford
380,Kaashvie Nair
381,J.D. Dillard
382,Nikhil Pherwani
383,Praveen Kandregula
384,Cecilia Verheyden
385,Daniel Minahan
386,Donovan Marsh
387,Brent Dawes
388,Leli Maki
389,Daniel Prochaska
390,Joe Wright
391,Matthew Vaughn
392,Aditya Kripalani
393,David Pablos
394,Alexandre Aja
395,Ramon Térmens
396,Svetlana Cvetko
397,Martin Prakkat
398,Baran bo Odar
399,Zhang Chong
400,Yılmaz Erdoğan
401,Ivan Ayr
402,Anthony Mandler
403,Stanley Menino D'Costa
404,Jennifer Brea
405,Julia von Heinz
406,Niels Arden Oplev
407,Don Argott
408,Sheena M. Joyce
409,Duncan Skiles
410,Sean McNamara
411,Vondie Curtis-Hall
412,Robert Radler
413,Dean Parisot
414,Paul Greengrass
415,Justin Kelly
416,Eric Darnell
417,Tom McGrath
418,Conrad Vernon
419,Jeff Wadlow
420,Charles Martin
421,Stella Corradi
422,Roland Emmerich
423,Kevin Macdonald
424,Ann Deborah Fishman
425,Chris Gorak
426,Peter Jackson
427,Roger Kumble
428,Jonathan Lynn
429,Courtney Hunt
430,Pierre Greco
431,Nancy Florence Savard
432,Andrew Davis
433,Kevin Smith
434,Chaitanya Tamhane
435,Johannes Roberts
436,Pedro Antonio
437,John Wells
438,Jonathan Liebesman
439,Maria Pulera
440,Santhosh Viswanath
