show_id,category_id
s8,0
s8,1
s8,2
s9,3
s9,4
s10,5
s10,0
s13,0
s13,2
s25,5
s25,2
s25,6
s28,5
s29,7
s29,8
s30,9
s39,10
s39,0
s42,10
s42,11
s42,0
s43,0
s43,7
s43,9
s44,10
s44,7
s44,9
s45,10
s45,7
s45,9
s47,10
s49,0
s49,9
s52,10
s52,12
s52,2
s53,10
s53,12
s53,2
s54,10
s54,12
s54,2
s55,10
s55,12
s55,2
s57,10
s57,12
s57,2
s58,10
s58,12
s58,2
s59,10
s59,12
s59,2
s60,10
s60,12
s60,2
s61,10
s61,12
s61,2
s62,10
s62,12
s62,2
s63,10
s63,12
s63,2
s64,10
s64,12
s64,2
s74,0
s74,2
s82,10
s85,10
s85,5
s85,0
s91,8
s91,9
s95,13
s95,5
s97,14
s97,15
s106,10
s106,5
s106,0
s108,13
s108,0
s115,0
s115,2
s115,9
s116,0
s116,6
s117,5
s117,0
s117,1
s119,0
s119,2
s119,9
s123,9
s127,0
s127,2
s127,6
s128,13
s128,5
s130,0
s132,10
s132,11
s132,16
s134,10
s134,8
s135,10
s135,0
s136,10
s137,0
s137,6
s138,10
s138,5
s139,0
s139,6
s140,11
s140,5
s140,0
s141,0
s141,2
s141,9
s142,10
s143,0
s144,10
s144,8
s145,5
s145,16
s146,5
s146,16
s146,15
s147,5
s147,15
s150,10
s150,5
s151,9
s152,10
s152,2
s153,5
s156,10
s156,13
s156,16
s157,5
s157,0
s157,6
s158,8
s158,9
s159,5
s159,6
s160,5
s160,0
s160,2
s162,5
s162,16
s162,8
s163,0
s164,5
s164,6
s165,10
s165,5
s167,11
s167,0
s168,13
s168,5
s169,10
s169,13
s169,5
s170,10
s170,0
s171,14
s171,15
s172,0
s172,17
s173,5
s173,15
s174,14
s174,18
s175,10
s175,0
s176,0
s176,6
s177,10
s177,5
s178,10
s178,11
s179,10
s179,5
s180,5
s180,6
s183,5
s184,10
s184,11
s189,5
s189,2
s191,0
s191,2
s192,0
s192,1
s193,10
s193,5
s193,2
s196,5
s196,0
s196,2
s199,19
s199,20
s199,21
s200,5
s200,0
s200,2
s201,10
s201,7
s201,2
s202,0
s202,2
s202,9
s203,5
s203,2
s203,15
s204,5
s204,2
s205,5
s205,2
s206,5
s206,2
s206,8
s207,0
s207,1
s207,2
s208,10
s208,2
s208,15
s209,0
s209,2
s209,15
s210,0
s210,2
s210,15
s211,7
s211,2
s212,7
s212,2
s216,10
s216,0
s216,2
s217,5
s217,0
s217,1
s218,5
s218,0
s218,2
s228,0
s228,1
s228,6
s229,10
s230,7
s232,13
s232,0
s248,10
s248,0
s252,0
s252,1
s252,6
s254,0
s254,2
s254,6
s260,5
s260,0
s260,2
s265,5
s265,1
s268,11
s268,0
s268,1
s271,10
s274,19
s274,20
s274,21
s277,20
s277,22
s277,23
s279,24
s280,10
s280,12
s280,13
s282,5
s282,2
s283,0
s283,1
s283,2
s285,5
s285,6
s286,0
s286,2
s293,5
s293,0
s293,1
s294,5
s294,2
s294,6
s296,10
s296,5
s298,25
s299,5
s299,0
s299,2
s300,7
s300,1
s300,2
s301,13
s301,15
s302,10
s302,5
s302,2
s304,5
s304,16
s304,2
s305,14
s306,11
s306,0
s306,2
s307,0
s307,2
s308,7
s309,26
s315,0
s315,1
s315,6
s316,0
s316,2
s317,20
s317,22
s317,27
s326,13
s326,5
s327,13
s327,5
s328,10
s328,8
s329,10
s330,0
s331,13
s331,5
s331,8
s333,10
s333,7
s333,8
s334,11
s334,5
s334,16
s335,0
s335,6
s336,0
s336,9
s338,5
s338,6
s341,10
s341,8
s341,9
s342,0
s342,1
s343,5
s344,0
s345,13
s345,5
s345,0
s346,13
s346,5
s347,10
s347,5
s348,13
s348,5
s348,8
s349,5
s350,0
s350,28
s351,10
s351,0
s351,8
s352,10
s352,5
s352,16
s353,5
s353,0
s354,7
s355,10
s355,5
s356,0
s356,9
s357,10
s358,0
s358,1
s358,9
s359,9
s360,24
s361,5
s361,6
s366,0
s366,1
s366,2
s375,5
s375,2
s375,6
s378,10
s378,2
s381,19
s381,29
s381,30
s384,10
s384,2
s390,0
s390,2
s390,9
s393,10
s393,0
s394,13
s394,28
s403,0
s403,6
s411,13
s416,13
s427,0
s430,0
s430,2
s430,9
s434,5
s434,0
s434,1
s437,0
s437,2
s437,6
s438,10
s440,0
s440,2
s440,9
s446,0
s446,1
s446,9
s447,0
s448,0
s448,6
s449,0
s449,6
s450,0
s450,6
s451,0
s451,6
s452,10
s452,0
s452,6
s453,5
s453,0
s453,2
s461,13
s461,5
s461,28
s464,7
s464,2
s470,0
s470,1
s475,10
s475,5
s487,13
s487,5
s487,8
s490,5
s490,2
s492,5
s492,0
s492,6
s493,0
s493,6
s495,5
s495,15
s497,10
s497,2
s503,0
s503,2
s503,6
s504,19
s504,20
s504,21
s507,2
s507,6
s509,0
s509,2
s519,0
s519,2
s529,0
s529,2
s529,6
s530,0
s530,2
s532,0
s532,2
s535,0
s535,2
s542,5
s542,0
s542,2
s543,0
s543,2
s552,2
s552,6
s552,9
s555,0
s555,2
s555,9
s556,10
s556,16
s556,2
s557,7
s557,2
s557,9
s558,7
s558,8
s559,10
s560,10
s562,10
s562,5
s563,5
s564,10
s564,5
s564,8
s565,5
s565,0
s565,1
s567,10
s567,5
s568,10
s568,9
s569,13
s569,5
s570,0
s570,2
s570,6
s573,5
s573,0
s573,2
s574,13
s574,5
s575,13
s575,5
s576,5
s576,0
s576,6
s577,0
s577,17
s577,2
s579,0
s579,6
s580,10
s580,11
s580,5
s582,10
s582,8
s583,5
s583,0
s584,5
s584,6
s585,5
s586,0
s586,6
s590,0
s590,2
s592,0
s592,6
s593,5
s593,6
s594,13
s594,5
s595,10
s595,8
s596,13
s596,5
s597,5
s597,0
s597,1
s598,10
s598,5
s598,28
s599,0
s599,9
s600,0
s601,9
s602,10
s602,13
s602,11
s603,10
s603,13
s603,0
s604,13
s604,0
s605,0
s606,10
s607,0
s607,2
s608,7
s608,9
s609,10
s610,10
s610,6
s611,10
s611,7
s611,8
s612,10
s612,7
s612,8
s613,10
s613,7
s613,8
s614,0
s614,2
s614,9
s615,0
s615,6
s615,8
s616,0
s616,15
s616,6
s619,10
s619,5
s623,9
s631,0
s635,14
s635,2
s636,0
s636,2
s637,10
s644,7
s651,0
s651,2
s652,5
s652,0
s652,2
s655,5
s655,0
s655,2
s656,5
s656,0
s656,2
s657,2
s657,15
s657,6
s677,19
s677,21
s677,31
s682,3
s682,32
s686,0
s689,5
s689,2
s689,6
s695,5
s695,0
s695,1
s699,0
s699,1
s699,2
s702,0
s703,5
s703,0
s703,1
s706,14
s706,2
s706,28
s709,0
s709,1
s712,0
s712,2
s712,9
s717,14
s719,5
s719,1
s722,10
s723,14
s724,4
s727,25
s729,7
s736,5
s736,0
s736,2
s737,13
s737,0
s737,2
s738,33
s738,19
s738,34
s740,13
s740,5
s741,5
s741,7
s742,0
s742,2
s743,0
s743,2
s744,0
s744,1
s744,6
s746,2
s746,9
s747,0
s747,9
s748,5
s748,0
s748,2
s751,0
s751,1
s751,2
s753,10
s753,5
s753,8
s755,0
s755,1
s757,0
s757,2
s757,6
s758,14
s759,22
s759,27
s759,21
s763,5
s763,2
s763,6
s765,5
s765,2
s765,6
s766,10
s766,2
s767,24
s769,5
s769,0
s769,2
s771,14
s771,2
s771,15
s774,0
s774,2
s774,9
s775,0
s775,17
s775,6
s776,0
s776,1
s776,18
s777,10
s778,5
s778,1
s778,18
s780,10
s780,16
s780,8
s783,0
s783,6
s784,5
s784,2
s784,15
s785,5
s785,0
s785,1
s787,10
s787,0
s788,10
s789,9
s791,14
s792,10
s792,0
s793,5
s793,0
s793,6
s794,5
s794,6
s795,5
s795,0
s795,2
s797,16
s797,7
s798,0
s799,5
s799,0
s799,1
s800,0
s800,28
s801,0
s801,1
s801,18
s802,10
s802,0
s802,28
s803,10
s804,33
s804,22
s804,35
s805,7
s805,9
s809,10
s810,10
s810,5
s811,10
s811,11
s811,16
s813,10
s815,5
s815,6
s817,9
s818,5
s818,0
s818,1
s819,5
s819,0
s819,6
s820,10
s820,11
s822,0
s822,6
s822,9
s823,7
s824,5
s824,0
s824,1
s825,9
s827,24
s829,0
s835,13
s835,0
s835,17
s837,7
s837,2
s837,9
s839,24
s840,0
s840,1
s840,2
s841,0
s841,2
s841,28
s847,13
s847,5
s847,8
s851,0
s851,2
s851,15
s854,10
s854,7
s860,0
s860,2
s864,13
s864,5
s866,10
s866,0
s867,9
s871,14
s872,5
s872,0
s872,2
s873,0
s873,1
s873,8
s874,0
s874,1
s874,2
s878,5
s878,1
s878,2
s879,0
s879,2
s879,9
s880,21
s882,0
s882,2
s882,9
s883,13
s883,5
s886,5
s886,0
s886,2
s888,7
s888,2
s888,9
s890,0
s890,9
s892,1
s892,2
s892,9
s893,0
s893,1
s893,2
s895,0
s895,1
s895,2
s896,0
s896,2
s896,9
s900,0
s900,2
s902,1
s902,9
s904,0
s904,2
s904,9
s905,10
s906,10
s906,0
s906,2
s907,0
s907,2
s910,0
s910,1
s910,2
s911,0
s914,0
s914,2
s914,6
s915,14
s916,0
s916,2
s916,9
s917,10
s918,14
s918,0
s923,0
s923,1
s923,9
s925,13
s925,5
s927,10
s927,0
s929,10
s929,28
s931,10
s931,5
s932,5
s933,10
s934,13
s934,0
s935,0
s935,1
s936,13
s936,5
s943,0
s943,9
s944,10
s944,0
s944,28
s945,10
s946,0
s946,2
s947,10
s947,8
s948,0
s948,9
s949,5
s950,10
s950,8
s951,0
s951,2
s951,8
s952,5
s952,6
s953,10
s953,5
s954,0
s954,9
s955,13
s955,5
s956,10
s957,5
s957,1
s957,6
s960,0
s960,1
s960,2
s963,7
s967,5
s967,2
s970,0
s971,10
s971,8
s972,9
s974,0
s974,2
s975,0
s975,1
s975,2
s977,5
s977,2
s978,5
s978,2
s979,5
s979,2
s979,6
s980,5
s980,2
s981,5
s981,2
s982,10
s982,5
s982,2
s983,5
s983,0
s983,2
s984,14
s984,2
s984,15
s985,5
s985,2
s986,5
s986,2
s986,6
s987,5
s987,2
s987,6
s989,20
s989,22
s989,27
s990,5
s990,2
s991,5
s991,2
s992,0
s992,1
s992,2
s995,0
s995,2
s995,6
s996,5
s996,0
s996,2
s997,7
s997,2
s997,9
s1000,0
s1000,2
s1000,9
s1002,0
s1002,2
s1002,9
s1003,5
s1003,2
s1014,9
s1016,0
s1017,10
s1017,5
s1017,2
s1018,0
s1018,2
s1019,5
s1019,2
s1019,15
s1020,0
s1020,2
s1020,15
s1021,14
s1021,2
s1022,5
s1022,0
s1022,1
s1023,0
s1023,2
s1024,0
s1024,1
s1024,2
s1025,13
s1025,5
s1025,15
s1027,13
s1028,7
s1028,6
s1028,8
s1030,0
s1030,2
s1031,13
s1031,5
s1031,0
s1032,0
s1032,2
s1032,6
s1034,10
s1034,0
s1034,2
s1035,9
s1036,0
s1037,10
s1037,8
s1038,5
s1038,0
s1038,2
s1040,14
s1040,15
s1042,10
s1042,12
s1042,7
s1043,32
s1047,9
s1051,0
s1051,2
s1051,18
s1053,0
s1053,1
s1054,14
s1054,15
s1056,16
s1056,0
s1056,15
s1067,0
s1067,2
s1067,9
s1068,20
s1068,21
s1068,35
s1070,0
s1070,2
s1070,6
s1081,10
s1081,12
s1081,2
s1084,5
s1086,0
s1086,2
s1087,0
s1087,2
s1087,9
s1088,5
s1088,7
s1088,2
s1089,10
s1089,5
s1090,0
s1091,0
s1091,2
s1091,6
s1099,5
s1099,0
s1099,2
s1100,0
s1100,2
s1101,7
s1101,9
s1102,13
s1102,5
s1102,8
s1103,5
s1104,10
s1104,0
s1104,2
s1105,13
s1105,5
s1105,0
s1106,0
s1106,1
s1107,10
s1108,0
s1108,17
s1108,2
s1109,2
s1109,9
s1110,5
s1110,2
s1110,6
s1111,0
s1111,2
s1112,5
s1112,6
s1113,13
s1113,5
s1114,10
s1114,8
s1115,5
s1115,0
s1115,2
s1116,5
s1116,2
s1116,28
s1119,7
s1119,9
s1120,10
s1120,7
s1121,10
s1121,8
s1122,5
s1122,6
s1123,0
s1123,2
s1125,10
s1127,11
s1127,15
s1129,10
s1129,2
s1132,10
s1132,0
s1132,2
s1134,10
s1135,10
s1135,8
s1136,10
s1137,0
s1137,2
s1137,6
s1138,10
s1138,2
s1138,15
s1139,0
s1139,1
s1139,2
s1140,7
s1140,9
s1141,10
s1142,0
s1142,2
s1142,9
s1143,14
s1145,5
s1145,6
s1146,0
s1148,14
s1148,2
s1148,28
s1151,14
s1152,13
s1154,0
s1154,2
s1155,0
s1157,13
s1157,17
s1157,15
s1161,0
s1161,1
s1161,9
s1163,0
s1163,2
s1165,5
s1165,2
s1166,5
s1166,0
s1166,2
s1168,0
s1168,2
s1168,6
s1171,13
s1171,5
s1173,24
s1174,20
s1174,36
s1174,37
s1176,0
s1176,1
s1176,2
s1177,0
s1177,2
s1178,7
s1178,2
s1179,10
s1185,10
s1185,2
s1186,5
s1186,2
s1186,6
s1188,9
s1189,10
s1189,5
s1189,2
s1190,24
s1191,10
s1192,24
s1193,0
s1193,2
s1195,0
s1195,2
s1195,9
s1196,14
s1198,0
s1198,15
s1199,24
s1200,0
s1200,9
s1203,0
s1203,2
s1203,6
s1204,13
s1204,0
s1209,5
s1209,2
s1210,5
s1210,0
s1210,2
s1212,0
s1212,2
s1213,0
s1213,2
s1216,5
s1216,2
s1216,6
s1217,5
s1217,2
s1217,6
s1219,13
s1219,5
s1220,5
s1220,0
s1220,1
s1221,0
s1221,1
s1221,2
s1222,0
s1222,2
s1223,7
s1223,1
s1224,19
s1224,20
s1224,29
s1229,0
s1229,1
s1229,2
s1231,5
s1231,0
s1231,1
s1233,5
s1233,0
s1233,2
s1234,5
s1234,2
s1237,10
s1237,0
s1237,2
s1238,5
s1238,2
s1238,6
s1240,10
s1241,0
s1241,6
s1242,5
s1242,0
s1242,15
s1244,0
s1245,10
s1245,5
s1245,2
s1249,14
s1249,15
s1252,10
s1252,11
s1252,0
s1253,5
s1253,2
s1254,13
s1254,5
s1255,11
s1255,0
s1257,5
s1257,16
s1257,15
s1259,13
s1259,5
s1260,5
s1260,0
s1260,1
s1261,5
s1261,2
s1261,6
s1262,0
s1262,1
s1262,2
s1264,10
s1265,5
s1265,0
s1265,1
s1266,2
s1266,9
s1267,0
s1267,1
s1267,2
s1268,2
s1268,9
s1270,0
s1270,2
s1270,6
s1274,2
s1274,9
s1279,24
s1282,0
s1282,2
s1284,7
s1284,9
s1285,7
s1287,5
s1287,0
s1287,1
s1289,0
s1289,9
s1291,5
s1291,18
s1291,9
s1292,0
s1292,1
s1292,2
s1294,20
s1294,21
s1296,5
s1296,0
s1296,1
s1298,7
s1305,13
s1306,10
s1306,5
s1306,0
s1308,13
s1308,5
s1308,0
s1310,9
s1312,5
s1312,0
s1312,2
s1313,0
s1313,1
s1313,18
s1316,24
s1317,0
s1317,2
s1317,6
s1319,5
s1319,6
s1320,13
s1323,5
s1323,0
s1323,2
s1324,0
s1324,2
s1324,6
s1325,0
s1325,1
s1325,6
s1326,2
s1326,9
s1327,5
s1327,2
s1327,6
s1328,14
s1328,15
s1330,5
s1330,2
s1331,0
s1331,6
s1334,5
s1334,0
s1335,10
s1335,2
s1337,24
s1338,0
s1338,1
s1338,2
s1341,0
s1341,2
s1342,0
s1342,1
s1343,10
s1343,0
s1343,2
s1345,0
s1345,2
s1345,6
s1346,10
s1346,2
s1347,5
s1347,0
s1347,2
s1348,10
s1348,2
s1352,0
s1352,17
