show_id,country_id
s8,0
s8,1
s8,2
s8,3
s8,4
s8,5
s9,3
s10,0
s13,4
s13,6
s25,7
s28,0
s29,0
s30,0
s30,7
s30,8
s39,9
s39,10
s39,0
s42,0
s43,0
s44,0
s45,0
s47,11
s47,0
s47,12
s49,0
s52,12
s53,12
s54,12
s55,12
s57,12
s58,12
s59,12
s60,12
s61,12
s62,12
s63,12
s64,12
s74,13
s82,0
s85,13
s91,14
s91,0
s95,3
s95,0
s97,0
s106,7
s108,0
s115,7
s116,3
s116,15
s116,8
s117,7
s119,7
s123,3
s123,15
s123,8
s123,0
s127,7
s128,0
s128,10
s130,4
s130,0
s132,0
s134,11
s134,0
s135,0
s135,16
s136,0
s136,17
s136,8
s136,12
s137,0
s137,17
s137,18
s137,3
s138,15
s138,0
s139,0
s140,0
s141,19
s141,20
s142,0
s142,3
s142,10
s143,4
s143,0
s144,0
s145,0
s146,0
s147,0
s150,0
s151,0
s152,9
s152,21
s153,0
s156,3
s156,0
s157,0
s158,10
s159,0
s160,21
s162,0
s163,0
s163,9
s163,21
s164,0
s165,0
s167,17
s167,0
s168,0
s168,10
s169,0
s170,0
s171,0
s172,0
s173,0
s173,4
s174,0
s175,0
s176,0
s177,0
s178,3
s178,0
s179,0
s180,0
s183,0
s184,0
s189,8
s191,7
s192,3
s192,10
s192,0
s193,7
s196,7
s199,13
s200,7
s201,7
s202,7
s203,7
s204,7
s205,7
s206,7
s207,7
s208,7
s209,7
s210,7
s211,7
s212,7
s216,7
s217,7
s218,7
s228,0
s229,0
s229,3
s230,0
s232,0
s248,0
s252,0
s254,7
s260,7
s260,22
s265,0
s268,23
s268,15
s268,8
s268,0
s271,17
s271,24
s271,25
s274,8
s277,14
s279,26
s280,0
s280,12
s282,13
s283,16
s285,3
s285,0
s286,27
s286,3
s286,15
s293,3
s294,11
s296,0
s298,7
s299,13
s300,8
s301,10
s301,0
s302,7
s304,19
s305,3
s306,19
s306,14
s307,13
s308,0
s309,0
s315,0
s316,0
s316,13
s317,28
s326,0
s327,0
s328,0
s328,3
s329,29
s329,0
s330,0
s330,10
s331,0
s331,10
s333,0
s333,16
s334,0
s335,0
s336,0
s338,0
s338,10
s341,0
s341,3
s342,0
s343,0
s344,0
s345,0
s346,0
s346,10
s347,0
s348,14
s348,3
s348,0
s349,3
s349,0
s350,0
s351,0
s352,0
s352,4
s353,0
s353,9
s354,0
s355,0
s356,0
s357,0
s357,8
s358,14
s358,8
s358,3
s358,0
s359,0
s360,0
s361,0
s366,30
s366,8
s366,31
s375,13
s378,32
s381,0
s384,7
s390,8
s390,33
s390,4
s390,0
s390,3
s393,0
s394,15
s403,3
s411,7
s416,7
s427,23
s430,13
s434,0
s437,34
s438,0
s440,35
s446,0
s447,0
s448,0
s449,0
s450,0
s451,0
s452,0
s453,36
s461,0
s461,10
s464,17
s470,0
s470,10
s475,0
s475,27
s487,21
s487,10
s487,0
s490,37
s490,0
s492,0
s493,0
s495,0
s497,8
s497,10
s497,0
s497,14
s503,13
s504,32
s507,15
s509,8
s509,38
s509,39
s519,7
s529,7
s530,40
s532,41
s535,36
s542,7
s543,7
s552,7
s555,13
s556,42
s556,6
s557,42
s558,15
s558,0
s559,0
s560,0
s560,4
s562,0
s563,0
s564,0
s565,0
s567,0
s567,4
s568,0
s569,0
s570,43
s573,3
s573,44
s574,0
s574,9
s575,0
s575,9
s576,0
s577,3
s577,15
s577,0
s579,8
s579,12
s579,0
s580,0
s582,0
s583,0
s584,0
s584,3
s585,0
s586,3
s586,0
s590,3
s592,0
s593,0
s594,0
s595,0
s595,4
s596,4
s596,0
s597,0
s598,0
s599,0
s599,3
s600,0
s601,0
s602,0
s603,0
s604,0
s605,3
s605,4
s605,14
s605,0
s606,0
s607,3
s607,0
s607,8
s607,17
s608,0
s609,0
s609,4
s609,10
s610,0
s610,8
s610,17
s610,3
s611,0
s611,3
s611,4
s611,45
s612,0
s612,10
s613,0
s613,23
s614,13
s615,0
s615,23
s616,0
s619,0
s623,0
s631,0
s635,8
s636,46
s637,0
s637,10
s644,0
s651,24
s652,13
s655,18
s656,18
s657,18
s677,0
s682,3
s686,0
s689,13
s695,46
s695,47
s699,48
s702,10
s703,0
s706,4
s709,0
s712,17
s717,0
s719,0
s722,0
s723,0
s724,0
s727,0
s729,0
s736,7
s737,0
s737,7
s738,48
s738,39
s738,36
s740,9
s740,0
s740,10
s741,0
s742,46
s742,49
s743,43
s744,10
s744,0
s744,50
s746,49
s747,0
s748,13
s751,16
s751,8
s751,26
s753,0
s753,3
s755,3
s755,0
s757,13
s758,0
s759,3
s763,42
s765,11
s766,14
s767,16
s769,51
s771,49
s774,48
s775,0
s776,0
s777,0
s778,0
s780,0
s783,10
s783,0
s784,24
s785,0
s785,10
s787,0
s788,0
s789,0
s791,0
s792,0
s793,0
s794,0
s795,13
s797,0
s798,0
s799,0
s800,0
s801,0
s802,0
s803,4
s803,0
s803,8
s804,12
s805,10
s805,0
s809,0
s809,29
s810,0
s811,0
s813,0
s815,0
s817,3
s817,8
s817,4
s817,0
s818,0
s819,0
s820,0
s822,3
s823,0
s824,0
s825,0
s827,0
s829,0
s835,0
s837,35
s839,19
s840,47
s840,8
s840,46
s840,52
s841,17
s847,0
s851,7
s854,0
s860,40
s864,0
s866,0
s867,0
s871,0
s872,7
s873,0
s874,7
s878,7
s879,44
s879,38
s880,0
s882,11
s883,53
s886,10
s886,11
s888,54
s890,0
s892,3
s893,7
s895,16
s895,24
s896,8
s896,0
s900,14
s902,0
s904,7
s905,0
s906,9
s907,55
s910,7
s911,0
s914,7
s915,3
s915,0
s916,4
s916,8
s917,0
s918,0
s923,0
s925,0
s927,0
s929,0
s931,0
s932,0
s933,3
s933,8
s933,14
s933,0
s934,3
s934,0
s935,3
s935,10
s935,0
s936,0
s943,0
s943,15
s944,0
s945,9
s946,3
s947,0
s947,8
s948,0
s948,3
s948,8
s949,0
s950,0
s950,56
s951,0
s951,3
s951,23
s952,0
s953,0
s954,0
s955,10
s956,8
s956,0
s957,0
s960,7
s963,0
s963,3
s967,24
s970,0
s971,0
s972,14
s974,7
s975,7
s977,55
s978,55
s979,55
s980,55
s981,55
s982,55
s983,55
s984,14
s985,55
s986,55
s987,55
s989,35
s990,55
s991,55
s992,40
s995,13
s996,55
s997,12
s1000,4
s1000,0
s1002,10
s1002,13
s1002,0
s1003,16
s1014,8
s1014,0
s1014,3
s1014,10
s1016,0
s1017,7
s1018,7
s1019,7
s1020,7
s1020,3
s1021,7
s1022,7
s1023,7
s1024,7
s1025,0
s1027,0
s1028,10
s1028,0
s1028,16
s1030,0
s1031,48
s1032,4
s1034,3
s1034,4
s1034,0
s1035,0
s1036,6
s1036,3
s1036,0
s1037,0
s1038,7
s1040,0
s1042,12
s1043,0
s1047,0
s1051,12
s1053,0
s1054,0
s1056,0
s1067,9
s1067,28
s1068,35
s1070,7
s1081,9
s1084,0
s1086,42
s1087,13
s1088,7
s1089,0
s1090,0
s1091,36
s1099,7
s1100,57
s1101,0
s1102,0
s1102,10
s1103,0
s1104,9
s1105,0
s1105,10
s1106,3
s1106,0
s1107,0
s1108,13
s1109,7
s1110,38
s1111,8
s1112,0
s1112,3
s1112,8
s1113,0
s1114,0
s1115,7
s1116,7
s1119,0
s1119,10
s1120,0
s1120,10
s1121,12
s1121,0
s1122,0
s1123,7
s1125,0
s1127,0
s1129,0
s1132,12
s1134,0
s1135,0
s1135,12
s1136,0
s1137,36
s1138,40
s1138,34
s1139,3
s1139,8
s1139,32
s1139,4
s1139,0
s1140,0
s1141,0
s1142,7
s1143,0
s1145,0
s1145,3
s1146,58
s1146,27
s1146,3
s1146,8
s1146,0
s1148,3
s1151,0
s1152,9
s1152,3
s1154,3
s1154,11
s1154,8
s1155,0
s1157,0
s1161,58
s1161,3
s1161,8
s1161,4
s1163,55
s1165,14
s1166,7
s1168,17
s1171,56
s1171,0
s1173,11
s1174,42
s1176,3
s1176,0
s1176,8
s1177,12
s1178,28
s1179,0
s1185,9
s1186,13
s1188,0
s1189,24
s1190,0
s1191,3
s1191,0
s1192,0
s1195,13
s1196,0
s1198,3
s1198,0
s1199,4
s1200,0
s1203,7
s1204,0
s1204,7
s1204,3
s1209,55
s1210,59
s1212,55
s1213,55
s1216,55
s1217,55
s1219,0
s1220,55
s1221,14
s1221,19
s1222,36
s1223,0
s1224,8
s1229,7
s1229,3
s1229,8
s1229,52
s1231,7
s1233,26
s1234,13
s1237,8
s1238,36
s1240,0
s1241,0
s1242,0
s1244,0
s1245,7
s1249,0
s1252,0
s1252,3
s1253,4
s1254,0
s1255,0
s1257,0
s1257,4
s1259,44
s1259,8
s1260,0
s1261,14
s1262,19
s1262,60
s1264,0
s1264,35
s1265,0
s1266,7
s1267,60
s1267,24
s1268,4
s1270,36
s1274,12
s1279,0
s1282,7
s1284,0
s1285,10
s1285,0
s1285,3
s1287,28
s1289,0
s1291,3
s1291,0
s1292,7
s1294,7
s1296,7
s1298,0
s1305,0
s1306,7
s1308,0
s1310,0
s1312,13
s1313,3
s1316,14
s1317,7
s1319,0
s1320,16
s1323,14
s1324,36
s1325,0
s1326,51
s1327,32
s1328,0
s1330,8
s1331,0
s1334,0
s1334,61
s1334,18
s1335,9
s1337,8
s1338,62
s1341,28
s1342,0
s1343,42
s1345,17
s1346,9
s1347,32
s1348,14
s1348,44
s1348,0
s1352,16
s1354,0
s1358,3
s1359,0
s1360,3
s1360,0
s1360,15
s1361,48
s1365,0
s1367,63
s1367,0
s1368,0
s1369,14
s1370,0
s1371,3
s1373,36
s1375,0
s1377,7
s1379,15
s1379,0
s1380,13
s1387,63
s1387,14
s1388,0
s1388,8
s1389,7
s1389,0
s1390,0
s1391,3
s1391,58
s1392,0
s1394,0
s1397,0
s1398,3
s1398,14
s1398,0
s1399,0
s1399,35
s1400,0
s1404,24
s1406,45
s1406,0
s1407,0
s1408,0
s1408,42
s1410,0
s1411,7
s1412,0
s1413,42
s1414,36
s1415,36
s1416,0
s1418,19
s1420,3
s1422,8
s1423,7
s1424,7
s1425,10
s1425,0
s1425,64
s1427,7
s1429,7
s1429,8
s1433,14
s1434,36
s1435,8
s1435,10
s1436,10
s1436,45
s1436,0
s1439,8
s1442,7
s1445,0
s1446,65
s1447,0
s1448,0
s1448,10
s1451,0
s1452,0
s1453,0
s1454,0
s1455,0
s1457,0
s1459,3
s1460,0
s1462,0
s1464,10
s1464,3
s1464,0
s1465,0
s1468,3
s1468,4
s1468,8
s1468,0
s1469,42
s1470,0
s1471,0
s1473,7
s1475,36
s1476,36
s1482,28
s1485,0
s1486,0
s1486,10
s1487,0
s1489,8
s1489,31
s1491,10
s1492,7
s1494,48
s1495,0
s1496,36
s1497,36
s1498,48
s1499,0
s1500,0
s1501,28
s1502,0
s1503,0
s1505,38
s1508,3
s1510,0
s1511,0
s1511,3
s1512,40
s1513,3
s1514,0
s1516,0
s1518,0
s1520,41
s1521,7
s1522,41
s1523,41
s1524,26
s1525,10
s1526,36
s1527,48
s1530,48
s1531,0
s1533,24
s1535,48
s1535,10
s1535,3
s1535,0
s1537,0
s1538,0
s1541,0
s1543,7
s1545,10
s1550,58
s1550,8
s1550,66
s1550,0
s1550,16
s1550,44
s1550,3
s1550,21
s1551,0
s1559,0
s1561,0
s1562,7
s1564,10
s1564,0
s1566,48
s1567,48
s1568,48
s1569,48
s1572,17
s1576,39
s1577,0
s1581,0
s1583,0
s1585,0
s1588,28
s1589,10
s1592,0
s1593,4
s1596,0
s1598,0
s1599,48
s1600,8
s1600,44
s1602,24
s1603,48
s1605,66
s1607,32
s1609,0
s1609,8
s1609,67
s1610,0
s1611,0
s1611,17
s1613,0
s1614,3
s1617,0
s1618,0
s1621,21
s1621,0
s1622,15
s1622,0
s1625,0
s1625,68
s1625,8
s1625,3
s1627,0
s1627,9
s1627,10
s1630,48
s1631,48
s1632,0
s1633,0
s1634,0
s1636,0
s1637,0
s1638,14
s1643,17
s1644,42
s1645,48
s1646,0
s1647,0
s1648,48
s1649,3
s1651,3
s1651,0
s1652,10
s1654,7
s1655,13
s1656,0
s1657,0
s1658,19
s1660,0
s1661,0
s1663,40
s1664,0
s1665,0
s1665,56
s1666,59
s1667,0
s1672,0
s1674,7
s1675,7
s1676,7
s1677,7
s1678,48
s1679,7
s1680,7
s1681,7
s1682,0
s1683,48
s1684,7
s1686,0
s1686,12
s1687,0
s1690,3
s1690,0
s1692,0
s1692,10
s1695,0
s1696,10
s1700,0
s1701,0
s1703,7
s1704,0
s1706,17
s1707,14
s1708,48
s1710,48
s1711,0
s1713,7
s1714,19
s1715,0
s1715,10
s1716,24
s1721,54
s1726,13
s1728,28
s1729,14
s1729,8
s1729,10
s1730,0
s1732,0
s1733,48
s1735,10
s1736,48
s1737,0
s1740,10
s1742,7
s1743,4
s1744,12
s1748,10
s1748,0
s1750,0
s1752,0
s1753,0
s1754,10
s1762,0
s1763,0
s1763,9
s1763,26
s1764,0
s1765,3
s1765,8
s1765,4
s1765,0
s1768,14
s1768,35
s1768,0
s1769,0
s1771,0
s1772,24
s1773,65
s1775,0
s1776,3
s1777,13
s1778,7
s1781,8
s1784,16
s1784,14
s1785,48
s1786,0
s1788,0
s1789,32
s1794,0
s1795,28
s1796,7
s1797,58
s1797,69
s1797,44
s1798,15
s1799,24
s1802,9
s1802,0
s1803,0
s1807,65
s1808,48
s1809,3
s1810,48
s1811,10
s1811,44
s1812,0
s1813,10
s1813,3
s1815,3
s1816,10
s1817,0
s1818,46
s1819,46
s1820,46
s1821,46
s1821,49
s1821,8
s1821,27
s1821,4
s1822,46
s1823,8
s1823,44
s1823,17
s1824,46
s1825,46
s1825,0
s1825,49
s1826,46
s1826,8
s1827,8
s1827,46
s1828,8
s1828,46
s1828,3
s1830,8
s1830,65
s1830,46
s1830,44
s1831,46
s1832,46
s1832,10
s1832,8
s1833,51
s1833,6
s1833,3
s1833,50
s1833,38
s1834,0
s1836,3
s1837,59
s1839,0
s1841,16
s1841,14
s1843,0
s1843,3
s1843,7
s1844,0
s1844,56
s1845,0
s1846,0
s1847,40
s1850,36
s1850,38
s1851,36
s1856,28
s1857,0
s1859,7
s1860,3
s1862,7
s1863,7
s1864,7
s1866,7
s1867,7
s1868,0
s1870,7
s1871,55
s1871,42
s1873,0
s1875,8
s1877,19
s1880,0
s1881,56
s1882,0
s1883,3
s1884,10
s1885,0
s1887,0
s1887,3
s1888,10
s1889,55
s1892,55
s1897,13
s1898,7
s1899,17
s1900,55
s1901,0
s1902,16
s1903,41
s1904,67
s1904,0
s1905,0
s1906,11
s1910,0
s1913,23
s1917,0
s1917,3
s1921,34
s1922,0
s1922,29
s1925,0
s1928,70
s1931,3
s1931,59
s1932,0
s1936,0
s1937,0
s1938,11
s1938,0
s1939,7
s1940,7
s1941,7
s1942,7
s1943,7
s1944,7
s1945,7
s1946,7
s1947,7
s1951,7
s1958,0
s1958,7
s1960,3
s1961,0
s1964,12
s1965,12
s1966,12
s1967,12
s1968,12
s1970,12
s1971,40
s1972,7
s1973,7
s1975,7
s1976,7
s1977,7
s1978,7
s1982,36
s1983,7
s1985,8
s1986,3
s1988,0
s1996,0
s1997,14
s1998,3
s1998,8
s1998,0
s1998,44
s1998,69
s1998,9
s1998,4
s1999,3
s2001,3
s2002,8
s2002,0
s2004,0
s2004,8
s2004,10
s2004,44
s2006,13
s2008,16
s2011,0
s2012,4
s2012,9
s2012,3
s2016,7
s2017,7
s2018,7
s2019,7
s2020,7
s2021,7
s2023,0
