show_id,director_id
s8,0
s9,1
s10,2
s13,3
s25,4
s28,5
s29,6
s30,7
s39,8
s42,9
s43,10
s44,11
s45,12
s47,13
s49,14
s52,15
s53,15
s54,15
s55,15
s57,16
s58,17
s59,16
s60,17
s61,16
s62,18
s63,19
s64,20
s74,21
s82,22
s85,23
s85,24
s91,25
s95,26
s97,27
s106,28
s108,29
s115,30
s116,31
s117,32
s119,33
s123,31
s127,34
s128,35
s130,36
s132,37
s134,38
s135,39
s136,40
s137,41
s138,42
s139,36
s140,43
s141,44
s142,45
s143,46
s144,47
s145,48
s146,49
s146,50
s147,51
s150,52
s151,53
s152,54
s152,55
s153,56
s156,57
s157,58
s158,59
s159,60
s160,61
s162,62
s163,48
s164,63
s165,64
s167,65
s168,66
s168,67
s169,68
s169,69
s170,70
s171,71
s172,72
s173,73
s174,74
s175,14
s176,75
s177,76
s178,77
s179,78
s179,79
s180,80
s183,81
s184,70
s189,82
s189,83
s191,84
s192,85
s193,86
s196,87
s199,21
s200,88
s201,89
s202,90
s202,91
s203,92
s204,93
s205,86
s206,94
s207,95
s208,96
s209,97
s210,97
s211,98
s212,99
s216,96
s217,100
s217,101
s218,97
s228,102
s229,103
s230,104
s232,105
s248,106
s252,107
s254,108
s260,109
s265,110
s268,31
s271,111
s274,112
s277,113
s279,114
s280,115
s282,116
s283,117
s285,118
s286,119
s293,120
s294,121
s296,122
s298,123
s298,124
s298,125
s298,126
s298,127
s298,128
s298,129
s298,130
s298,131
s299,132
s300,133
s301,134
s301,135
s302,136
s304,137
s305,138
s306,139
s307,140
s308,141
s309,142
s315,143
s316,144
s317,145
s326,146
s327,147
s328,148
s329,149
s330,9
s331,150
s331,151
s333,40
s334,152
s335,153
s336,154
s338,155
s341,156
s342,157
s343,158
s344,159
s345,159
s346,160
s347,161
s348,162
s349,163
s350,164
s351,165
s352,166
s353,167
s354,168
s355,169
s356,170
s357,171
s358,172
s359,173
s360,43
s361,174
s366,175
s375,176
s378,177
s381,178
s384,179
s390,180
s393,181
s394,182
s403,183
s411,184
s416,184
s427,185
s427,186
s430,187
s434,188
s437,189
s438,190
s440,191
s440,192
s440,193
s440,194
s440,195
s446,196
s447,197
s448,198
s449,198
s450,199
s451,200
s452,201
s453,202
s461,203
s461,204
s464,205
s464,206
s470,207
s475,208
s487,209
s487,210
s490,211
s492,212
s493,213
s495,214
s497,215
s503,216
s504,217
s507,218
s509,219
s519,220
s529,221
s529,222
s530,223
s532,224
s532,225
s532,226
s535,227
s542,228
s543,229
s552,230
s555,231
s556,232
s557,233
s558,234
s558,235
s559,236
s560,70
s562,237
s563,237
s564,237
s565,157
s567,238
s568,239
s569,158
s570,240
s573,241
s574,242
s574,243
s575,244
s576,245
s577,246
s579,247
s580,248
s582,249
s583,174
s584,250
s585,251
s586,252
s590,253
s592,254
s593,255
s594,256
s595,257
s596,258
s597,259
s598,260
s599,261
s600,262
